HCPC/MOD,ACTION CD,SHORT DESCRIPTION,LONG DESCRIPTION,
G0420,No Change,Ed svc ckd ind per session,"Face-to-face educational services related to the care of chronic kidney disease; individual, per session, per one hour",
G0421,No Change,Ed svc ckd grp per session,"Face-to-face educational services related to the care of chronic kidney disease; group, per session, per one hour",
G0422,No Change,Intens cardiac rehab w/exerc,"Intensive cardiac rehabilitation; with or without continuous ecg monitoring with exercise, per session",
G0423,No Change,Intens cardiac rehab no exer,"Intensive cardiac rehabilitation; with or without continuous ecg monitoring; without exercise, per session",
G0424,No Change,Pulmonary rehab w exer,"Pulmonary rehabilitation, including exercise (includes monitoring), one hour, per session, up to two sessions per day",
G0425,No Change,Inpt/ed teleconsult30,"Telehealth consultation, emergency department or initial inpatient, typically 30 minutes communicating with the patient via telehealth",
G0426,No Change,Inpt/ed teleconsult50,"Telehealth consultation, emergency department or initial inpatient, typically 50 minutes communicating with the patient via telehealth",
G0427,No Change,Inpt/ed teleconsult70,"Telehealth consultation, emergency department or initial inpatient, typically 70 minutes or more communicating with the patient via telehealth",
G0428,No Change,Collagen meniscus implant,"Collagen meniscus implant procedure for filling meniscal defects (e.g., cmi, collagen scaffold, menaflex)",
G0429,No Change,Dermal filler injection(s),"Dermal filler injection(s) for the treatment of facial lipodystrophy syndrome (lds) (e.g., as a result of highly active antiretroviral therapy)",
G0431,No Change,Drug screen multiple class,"Drug screen, qualitative; multiple drug classes by high complexity test method (e.g., immunoassay, enzyme assay), per patient encounter",
G0432,No Change,Eia hiv-1/hiv-2 screen,"Infectious agent antibody detection by enzyme immunoassay (eia) technique, hiv-1 and/or hiv-2, screening",
G0433,No Change,Elisa hiv-1/hiv-2 screen,"Infectious agent antibody detection by enzyme-linked immunosorbent assay (elisa) technique, hiv-1 and/or hiv-2, screening",
G0434,No Change,Drug screen multi drug class,"Drug screen, other than chromatographic; any number of drug classes, by clia waived test or moderate complexity test, per patient encounter",
G0435,No Change,Oral hiv-1/hiv-2 screen,"Infectious agent antibody detection by rapid antibody test, hiv-1 and/or hiv-2, screening",
G0436,No Change,Tobacco-use counsel 3-10 min,"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intermediate, greater than 3 minutes, up to 10 minutes",
G0437,No Change,Tobacco-use counsel>10min,"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intensive, greater than 10 minutes",
G0438,No Change,"Ppps, initial visit","Annual wellness visit; includes a personalized prevention plan of service (pps), initial visit",
G0439,No Change,"Ppps, subseq visit","Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit",
G0442,No Change,Annual alcohol screen 15 min,"Annual alcohol misuse screening, 15 minutes",
G0443,No Change,Brief alcohol misuse counsel,"Brief face-to-face behavioral counseling for alcohol misuse, 15 minutes",
G0444,No Change,Depression screen annual,"Annual depression screening, 15 minutes",
G0445,No Change,High inten beh couns std 30m,"High intensity behavioral counseling to prevent sexually transmitted infection; face-to-face, individual, includes: education, skills training and guidance on how to change sexual behavior; performed semi-annually, 30 minutes",
G0446,No Change,Intens behave ther cardio dx,"Annual, face-to-face intensive behavioral therapy for cardiovascular disease, individual, 15 minutes",
G0447,No Change,Behavior counsel obesity 15m,"Face-to-face behavioral counseling for obesity, 15 minutes",
G0448,No Change,Place perm pacing cardiovert,"Insertion or replacement of a permanent pacing cardioverter-defibrillator system with transvenous lead(s), single or dual chamber with insertion of pacing electrode, cardiac venous system, for left ventricular pacing",
G0451,No Change,Devlopment test interpt&rep,"Development testing, with interpretation and report, per standardized instrument form",
G0452,No Change,Molecular pathology interpr,Molecular pathology procedure; physician interpretation and report,
G0453,No Change,Cont intraop neuro monitor,"Continuous intraoperative neurophysiology monitoring, from outside the operating room (remote or nearby), per patient, (attention directed exclusively to one patient) each 15 minutes (list in addition to primary procedure)",
G0454,No Change,Md document visit by npp,"Physician documentation of face-to-face visit for durable medical equipment determination performed by nurse practitioner, physician assistant or clinical nurse specialist",
G0455,No Change,Fecal microbiota prep instil,"Preparation with instillation of fecal microbiota by any method, including assessment of donor specimen",
G0456,No Change,Neg pre wound <=50 sq cm,"Negative pressure wound therapy, (e.g. vacuum assisted drainage collection) using a mechanically-powered device, not durable medical equipment, including provision of cartridge and dressing(s), topical application(s), wound assessment, and instructions for ongoing care, per session; total wounds(s) surface area less than or equal to 50 square centimeters",
G0457,No Change,Neg pres wound >50 sq cm,"Negative pressure wound therapy, (e.g. vacuum assisted drainage collection) using a mechanically-powered device, not durable medical equipment, including provision of cartridge and dressing(s), topical application(s), wound assessment, and instructions for ongoing care, per session; total wounds(s) surface area greater than 50 square centimeters",
G0458,No Change,Ldr prostate brachy comp rat,"Low dose rate (ldr) prostate brachytherapy services, composite rate",
G0459,No Change,Telehealth inpt pharm mgmt,"Inpatient telehealth pharmacologic management, including prescription, use, and review of medication with no more than minimal medical psychotherapy",
G0460,No Change,Autologous prp for ulcers,"Autologous platelet rich plasma for chronic wounds/ulcers, including phlebotomy, centrifugation, and all other preparatory procedures, administration and dressings, per treatment",
G0461,No Change,Immunohisto/cyto chem 1st st,"Immunohistochemistry or immunocytochemistry, per specimen; first single or multiplex antibody stain",
G0462,No Change,Immunohisto/cyto chem add,"Immunohistochemistry or immunocytochemistry, per specimen; each additional single or multiplex antibody stain (list separately in addition to code for primary procedure)",
G0463,No Change,Hospital outpt clinic visit,Hospital outpatient clinic visit for assessment and management of a patient,
G0464,No Change,"Colorec ca scr, sto bas dna","Colorectal cancer screening; stool-based dna and fecal occult hemoglobin (e.g., kras, ndrg4 and bmp3)",
G0466,No Change,Fqhc visit new patient,"Federally qualified health center (fqhc) visit, new patient; a medically-necessary, face-to-face encounter (one-on-one) between a new patient and a fqhc practitioner during which time one or more fqhc services are rendered and includes a typical bundle of medicare-covered services that would be furnished per diem to a patient receiving a fqhc visit",
G0467,No Change,"Fqhc visit, estab pt","Federally qualified health center (fqhc) visit, established patient; a medically-necessary, face-to-face encounter (one-on-one) between an established patient and a fqhc practitioner during which time one or more fqhc services are rendered and includes a typical bundle of medicare-covered services that would be furnished per diem to a patient receiving a fqhc visit",
G0468,No Change,"Fqhc visit, ippe or awv","Federally qualified health center (fqhc) visit, ippe or awv; a fqhc visit that includes an initial preventive physical examination (ippe) or annual wellness visit (awv) and includes a typical bundle of medicare-covered services that would be furnished per diem to a patient receiving an ippe or awv",
G0469,No Change,"Fqhc visit, mh new pt","Federally qualified health center (fqhc) visit, mental health, new patient; a medically-necessary, face-to-face mental health encounter (one-on-one) between a new patient and a fqhc practitioner during which time one or more fqhc services are rendered and includes a typical bundle of medicare-covered services that would be furnished per diem to a patient receiving a mental health visit",
G0470,No Change,"Fqhc visit, mh estab pt","Federally qualified health center (fqhc) visit, mental health, established patient; a medically-necessary, face-to-face mental health encounter (one-on-one) between an established patient and a fqhc practitioner during which time one or more fqhc services are rendered and includes a typical bundle of medicare-covered services that would be furnished per diem to a patient receiving a mental health visit",
G0471,No Change,Ven blood coll snf/hha,Collection of venous blood by venipuncture or urine sample by catheterization from an individual in a skilled nursing facility (snf) or by a laboratory on behalf of a home health agency (hha),
G0472,No Change,Hep c screen high risk/other,"Hepatitis c antibody screening, for individual at high risk and other covered indication(s)",
G0473,No Change,Group behave couns 2-10,"Face-to-face behavioral counseling for obesity, group (2-10), 30 minutes",
G0475,No Change,Hiv combination assay,"Hiv antigen/antibody, combination assay, screening",
G0476,No Change,Hpv combo assay ca screen,"Infectious agent detection by nucleic acid (dna or rna); human papillomavirus (hpv), high-risk types (e.g., 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68) for cervical cancer screening, must be performed in addition to pap test",
G0477,No Change,Drug test presump optical,"Drug test(s), presumptive, any number of drug classes; any number of devices or procedures, (e.g., immunoassay) capable of being read by direct optical observation only (e.g., dipsticks, cups, cards, cartridges), includes sample validation when performed, per date of service",
G0478,No Change,Drug test presump opt inst,"Drug test(s), presumptive, any number of drug classes; any number of devices or procedures, (e.g., immunoassay) read by instrument-assisted direct optical observation (e.g., dipsticks, cups, cards, cartridges), includes sample validation when performed, per date of service",
G0479,No Change,Drug test presump not opt,"Drug test(s), presumptive, any number of drug classes; any number of devices or procedures by instrumented chemistry analyzers utilizing immunoassay, enzyme assay, tof, maldi, ldtd, desi, dart, ghpc, gc mass spectrometry), includes sample validation when performed, per date of service",
G0480,No Change,Drug test def 1-7 classes,"Drug test(s), definitive, utilizing (1) drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including, but not limited to gc/ms (any type, single or tandem) and lc/ms (any type, single or tandem and excluding immunoassays (e.g., ia, eia, elisa, emit, fpia) and enzymatic methods (e.g., alcohol dehydrogenase)), (2) stable isotope or other universally recognized internal standards in all samples (e.g., to control for matrix effects, interferences and variations in signal strength), and (3) method or drug-specific calibration and matrix-matched quality control material (e.g., to control for instrument variations and mass spectral drift); qualitative or quantitative, all sources, includes specimen validity testing, per day; 1-7 drug class(es), including metabolite(s) if performed",
G0481,No Change,Drug test def 8-14 classes,"Drug test(s), definitive, utilizing (1) drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including, but not limited to gc/ms (any type, single or tandem) and lc/ms (any type, single or tandem and excluding immunoassays (e.g., ia, eia, elisa, emit, fpia) and enzymatic methods (e.g., alcohol dehydrogenase)), (2) stable isotope or other universally recognized internal standards in all samples (e.g., to control for matrix effects, interferences and variations in signal strength), and (3) method or drug-specific calibration and matrix-matched quality control material (e.g., to control for instrument variations and mass spectral drift); qualitative or quantitative, all sources, includes specimen validity testing, per day; 8-14 drug class(es), including metabolite(s) if performed",
G0482,No Change,Drug test def 15-21 classes,"Drug test(s), definitive, utilizing (1) drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including, but not limited to gc/ms (any type, single or tandem) and lc/ms (any type, single or tandem and excluding immunoassays (e.g., ia, eia, elisa, emit, fpia) and enzymatic methods (e.g., alcohol dehydrogenase)), (2) stable isotope or other universally recognized internal standards in all samples (e.g., to control for matrix effects, interferences and variations in signal strength), and (3) method or drug-specific calibration and matrix-matched quality control material (e.g., to control for instrument variations and mass spectral drift); qualitative or quantitative, all sources, includes specimen validity testing, per day; 15-21 drug class(es), including metabolite(s) if performed",
G0483,No Change,Drug test def 22+ classes,"Drug test(s), definitive, utilizing (1) drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including, but not limited to gc/ms (any type, single or tandem) and lc/ms (any type, single or tandem and excluding immunoassays (e.g., ia, eia, elisa, emit, fpia) and enzymatic methods (e.g., alcohol dehydrogenase)), (2) stable isotope or other universally recognized internal standards in all samples (e.g., to control for matrix effects, interferences and variations in signal strength), and (3) method or drug-specific calibration and matrix-matched quality control material (e.g., to control for instrument variations and mass spectral drift); qualitative or quantitative, all sources, includes specimen validity testing, per day; 22 or more drug class(es), including metabolite(s) if performed",
G0490,No Change,"Home visit rn, lpn by rhc/fq",Face-to-face home health nursing visit by a rural health clinic (rhc) or federally qualified health center (fqhc) in an area with a shortage of home health agencies;  (services limited to rn or lpn only),
G0491,No Change,Dialysis acu kidney no esrd,Dialysis procedure at a medicare certified esrd facility for acute kidney injury without esrd,
G0492,No Change,Md/oth eval acut kid no esrd,Dialysis procedure with single evaluation by a physician or other qualified health care professional  for acute kidney injury without esrd,
G0493,No Change,Rn care ea 15 min hh/hospice,"Skilled services of a registered nurse (rn) for the observation and assessment of the patient's condition, each 15 minutes (the change in the patient's condition requires skilled nursing personnel to identify and evaluate the patient's need for possible modification of treatment in the home health or hospice setting)",
G0494,No Change,Lpn care ea 15min hh/hospice,"Skilled services of a licensed practical nurse (lpn) for the observation and assessment of the patient's condition, each 15 minutes (the change in the patient's condition requires skilled nursing personnel to identify and evaluate the patient's need for possible modification of treatment in the home health or hospice setting)",
G0495,No Change,Rn care train/edu in hh,"Skilled services of a registered nurse (rn), in the training and/or education of a patient or family member, in the home health or hospice setting, each 15 minutes",
G0496,No Change,Lpn care train/edu in hh,"Skilled services of a licensed practical nurse (lpn), in the training and/or education of a patient or family member, in the home health or hospice setting, each 15 minutes",
G0498,No Change,Chemo extend iv infus w/pump,"Chemotherapy administration, intravenous infusion technique; initiation of infusion in the office/clinic setting using office/clinic pump/supplies, with continuation of the infusion in the community setting (e.g., home, domiciliary, rest home or assisted living) using a portable pump provided by the office/clinic, includes follow up office/clinic visit at the conclusion of the infusion",
G0499,No Change,Hepb screen high risk indiv,"Hepatitis b screening in non-pregnant, high risk individual includes hepatitis b surface antigen (hbsag), antibodies to hbsag (anti-hbs) and antibodies to hepatitis b core antigen (anti-hbc), and is followed by a neutralizing confirmatory test, when performed, only for an initially reactive hbsag result",
G0500,No Change,Mod sedat endo service >5yrs,"Moderate sedation services provided by the same physician or other qualified health care professional performing a gastrointestinal endoscopic service that sedation supports, requiring the presence of an independent trained observer to assist in the monitoring of the patient's level of consciousness and physiological status; initial 15 minutes of intra-service time; patient age 5 years or older (additional time may be reported with 99153, as appropriate)",
G0501,No Change,Resource-inten svc during ov,"Resource-intensive services for patients for whom the use of specialized mobility-assistive technology (such as adjustable height chairs or tables, patient lift, and adjustable padded leg supports) is medically necessary and used during the provision of an office/outpatient, evaluation and management  visit (list separately in addition to primary service)",
G0502,No Change,"Init psych care manag, 70min","Initial psychiatric collaborative care management, first 70 minutes in the first calendar month of behavioral health care manager activities, in consultation with a psychiatric consultant, and directed by the treating physician or other qualified health care professional, with the following required elements: outreach to and engagement in treatment of a patient directed by the treating physician or other qualified health care professional; initial assessment of the patient, including administration of validated rating scales, with the development of an individualized treatment plan;  review by the psychiatric consultant with modifications of the plan if recommended;  entering patient in a registry and tracking patient follow-up and progress using the registry, with appropriate documentation, and participation in weekly caseload consultation with the psychiatric consultant; and provision of brief interventions using evidence-based techniques such as behavioral activation, motivational interviewing, and other focused treatment strategies",
G0503,No Change,"Subseq  psych care man,60mi","Subsequent psychiatric collaborative care management, first 60 minutes in a subsequent month of behavioral health care manager activities, in consultation with a psychiatric consultant, and directed by the treating physician or other qualified health care professional, with the following required elements:  tracking patient follow-up and progress using the registry, with appropriate documentation;  participation in weekly caseload consultation with the psychiatric consultant;  ongoing collaboration with and coordination of the patient's mental health care with the treating physician or other qualified health care professional and any other treating mental health providers;  additional review of progress and recommendations for changes in treatment, as indicated, including medications, based on recommendations provided by the psychiatric consultant;  provision of brief interventions using evidence-based techniques such as behavioral activation, motivational interviewing, and other focused treatment strategies;  monitoring of patient outcomes using validated rating scales; and relapse prevention planning with patients as they achieve remission of symptoms and/or other treatment goals and are prepared for discharge from active treatment",
G0504,No Change,Init/sub psych care add 30 m,"Initial or subsequent psychiatric collaborative care management, each additional 30 minutes in a calendar month of behavioral health care manager activities, in consultation with a psychiatric consultant, and directed by the treating physician or other qualified health care professional (list separately in addition to code for primary procedure);  (use g0504 in conjunction with g0502, g0503)",
G0505,No Change,Cog/func assessment  outpt,"Cognition and functional assessment using standardized instruments with development of recorded care plan for the patient with cognitive impairment, history obtained from patient and/or caregiver, in office or other outpatient setting or home or domiciliary or rest home",
G0506,No Change,Comp asses care plan ccm svc,Comprehensive assessment of and care planning for patients requiring chronic care management services (list separately in addition to primary monthly care management service),
G0507,No Change,Care manage serv minimum 20,"Care management services for behavioral health conditions, at least 20 minutes of clinical staff time, directed by a physician or other qualified health care professional, per calendar month, with the following required elements: initial assessment or follow-up monitoring, including the use of applicable validated rating scales; behavioral health care planning in relation to behavioral/psychiatric health problems, including revision for patients who are not progressing or whose status changes; facilitating and coordinating treatment such as psychotherapy, pharmacotherapy, counseling and/or psychiatric consultation; and continuity of care with a designated member of the care team",
G0508,No Change,Crit care telehea consult 60,"Telehealth consultation, critical care, initial , physicians typically spend 60 minutes communicating with the patient and providers via telehealth",
G0509,No Change,Crit care telehea consult 50,"Telehealth consultation, critical care, subsequent, physicians typically spend 50 minutes communicating with the patient and providers via telehealth",
G0511,No Change,Ccm/bhi by rhc/fqhc 20min mo,"Rural health clinic or federally qualified health center (rhc or fqhc) only, general care management, 20 minutes or more of clinical staff time for chronic care management services or behavioral health integration services directed by an rhc or fqhc practitioner (physician, np, pa, or cnm), per calendar month",
G0512,No Change,Cocm by rhc/fqhc 60 min mo,"Rural health clinic or federally qualified health center (rhc/fqhc) only, psychiatric collaborative care model (psychiatric cocm), 60 minutes or more of clinical staff time for psychiatric cocm services directed by an rhc or fqhc practitioner (physician, np, pa, or cnm) and including services furnished by a behavioral health care manager and consultation with a psychiatric consultant, per calendar month",
G0513,No Change,"Prolong prev svcs, first 30m","Prolonged preventive service(s) (beyond the typical service time of the primary procedure), in the office or other outpatient setting requiring direct patient contact beyond the usual service; first 30 minutes (list separately in addition to code for preventive service)",
G0514,No Change,"Prolong prev svcs, addl 30m","Prolonged preventive service(s) (beyond the typical service time of the primary procedure), in the office or other outpatient setting requiring direct patient contact beyond the usual service; each additional 30 minutes (list separately in addition to code g0513 for additional 30 minutes of preventive service)",
G0515,Discontinued,Cognitive skills development,"Development of cognitive skills to improve attention, memory, problem solving (includes compensatory training), direct (one-on-one) patient contact, each 15 minutes",
G0516,No Change,"Insert drug del implant, >=4","Insertion of non-biodegradable drug delivery implants, 4 or more (services for subdermal rod implant)",
G0517,No Change,Remove drug implant,"Removal of non-biodegradable drug delivery implants, 4 or more (services for subdermal implants)",
G0518,No Change,Remove w insert drug implant,"Removal with reinsertion, non-biodegradable drug delivery implants, 4 or more (services for subdermal implants)",
G0659,No Change,Drug test def simple all cl,"Drug test(s), definitive, utilizing drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including but not limited to gc/ms (any type, single or tandem) and lc/ms (any type, single or tandem), excluding immunoassays (e.g., ia, eia, elisa, emit, fpia) and enzymatic methods (e.g., alcohol dehydrogenase), performed without method or drug-specific calibration, without matrix-matched quality control material, or without use of stable isotope or other universally recognized internal standard(s) for each drug, drug metabolite or drug class per specimen; qualitative or quantitative, all sources, includes specimen validity testing, per day, any number of drug classes",
G0908,No Change,Hgb > 12 g/dl,Most recent hemoglobin (hgb) level > 12.0 g/dl,
G0909,No Change,Hbg not doc,"Hemoglobin level measurement not documented, reason not given",
G0910,No Change,Hgb <= 12 g/dl,Most recent hemoglobin level <= 12.0 g/dl,
G0913,No Change,Improve visual funct,Improvement in visual function achieved within 90 days following cataract surgery,
G0914,No Change,Survey not complete,Patient care survey was not completed by patient,
G0915,No Change,No improve visual funct,Improvement in visual function not achieved within 90 days following cataract surgery,
G0916,No Change,Satisfy with care,Satisfaction with care achieved within 90 days following cataract surgery,
G0917,No Change,Satisfy survey not complete,Patient satisfaction survey was not completed by patient,
G0918,No Change,No satisfy with care,Satisfaction with care not achieved within 90 days following cataract surgery,
G0919,No Change,Flu immunize not avail,Influenza immunization ordered or recommended (to be given at alternate location or alternate provider); vaccine not available at time of visit,
G0920,No Change,Type loc act doc,"Type, anatomic location, and activity all documented",
G0921,No Change,Doc pt reas no assess,"Documentation of patient reason(s) for not being able to assess (e.g., patient refuses endoscopic and/or radiologic assessment)",
G0922,No Change,Type loc act not doc,"No documentation of disease type, anatomic location, and activity, reason not given",
G1000,ADD,Cdsm applied pathways,"Clinical decision support mechanism applied pathways, as defined by the medicare appropriate use criteria program",
G1001,ADD,Cdsm evicore,"Clinical decision support mechanism evicore, as defined by the medicare appropriate use criteria program",
G1002,ADD,Cdsm medcurrent,"Clinical decision support mechanism medcurrent, as defined by the medicare appropriate use criteria program",
G1003,ADD,Cdsm medicalis,"Clinical decision support mechanism medicalis, as defined by the medicare appropriate use criteria program",
G1004,ADD,Cdsm ndsc,"Clinical decision support mechanism national decision support company, as defined by the medicare appropriate use criteria program",
G1005,ADD,Cdsm nia,"Clinical decision support mechanism national imaging associates, as defined by the medicare appropriate use criteria program",
G1006,ADD,Cdsm test approp,"Clinical decision support mechanism test appropriate, as defined by the medicare appropriate use criteria program",
G1007,ADD,Cdsm aim,"Clinical decision support mechanism aim specialty health, as defined by the medicare appropriate use criteria program",
G1008,ADD,Cdsm cranberry pk,"Clinical decision support mechanism cranberry peak, as defined by the medicare appropriate use criteria program",
G1009,ADD,Cdsm sage health,"Clinical decision support mechanism sage health management solutions, as defined by the medicare appropriate use criteria program",
G1010,ADD,Cdsm stanson,"Clinical decision support mechanism stanson, as defined by the medicare appropriate use criteria program",
G1011,ADD,Cdsm qualified nos,"Clinical decision support mechanism, qualified tool not otherwise specified, as defined by the medicare appropriate use criteria program",
G2000,No Change,Blinded conv. tx mdd clin tr,"Blinded administration of convulsive therapy procedure, either electroconvulsive therapy (ect, current covered gold standard) or magnetic seizure therapy (mst, non-covered experimental therapy), performed in an approved ide-based clinical trial, per treatment session",
G2001,No Change,Post d/c h vst new pt 20 m,"Brief (20 minutes) in-home visit for a new patient post-discharge. for use only in a medicare-approved cmmi model. (services must be furnished within a beneficiary's home, domiciliary, rest home, assisted living and/or nursing facility within 90 days following discharge from an inpatient facility and no more than 9 times.)",
G2002,No Change,Post-d/c h vst new pt 30 m,"Limited (30 minutes) in-home visit for a new patient post-discharge. for use only in a medicare-approved cmmi model. (services must be furnished within a beneficiary's home, domiciliary, rest home, assisted living and/or nursing facility within 90 days following discharge from an inpatient facility and no more than 9 times.)",
G2003,No Change,Post-d/c h vst new pt 45 m,"Moderate (45 minutes) in-home visit for a new patient post-discharge. for use only in a medicare-approved cmmi model. (services must be furnished within a beneficiary's home, domiciliary, rest home, assisted living and/or nursing facility within 90 days following discharge from an inpatient facility and no more than 9 times.)",
G2004,No Change,Post-d/c h vst new pt 60 m,"Comprehensive (60 minutes) in-home visit for a new patient post-discharge. for use only in a medicare-approved cmmi model. (services must be furnished within a beneficiary's home, domiciliary, rest home, assisted living and/or nursing facility within 90 days following discharge from an inpatient facility and no more than 9 times.)",
G2005,No Change,Post-d/c h vst new pt 75 m,"Extensive (75 minutes) in-home visit for a new patient post-discharge. for use only in a medicare-approved cmmi model. (services must be furnished within a beneficiary's home, domiciliary, rest home, assisted living and/or nursing facility within 90 days following discharge from an inpatient facility and no more than 9 times.)",
G2006,No Change,Post-d/c h vst ext pt 20 m,"Brief (20 minutes) in-home visit for an existing patient post-discharge. for use only in a medicare-approved cmmi model. (services must be furnished within a beneficiary's home, domiciliary, rest home, assisted living and/or nursing facility within 90 days following discharge from an inpatient facility and no more than 9 times.)",
G2007,No Change,Post-d/c h vst ext pt 30 m,"Limited (30 minutes) in-home visit for an existing patient post-discharge. for use only in a medicare-approved cmmi model. (services must be furnished within a beneficiary's home, domiciliary, rest home, assisted living and/or nursing facility within 90 days following discharge from an inpatient facility and no more than 9 times.)",
G2008,No Change,Post-d/c h vst ext pt 45 m,"Moderate (45 minutes) in-home visit for an existing patient post-discharge. for use only in a medicare-approved cmmi model. (services must be furnished within a beneficiary's home, domiciliary, rest home, assisted living and/or nursing facility within 90 days following discharge from an inpatient facility and no more than 9 times.)",
G2009,No Change,Post-d/c h vst ext pt 60 m,"Comprehensive (60 minutes) in-home visit for an existing patient post-discharge. for use only in a medicare-approved cmmi model. (services must be furnished within a beneficiary's home, domiciliary, rest home, assisted living and/or nursing facility within 90 days following discharge from an inpatient facility and no more than 9 times.)",
G2010,No Change,Remot image submit by pt,"Remote evaluation of recorded video and/or images submitted by an established patient (e.g., store and forward), including interpretation with follow-up with the patient within 24 business hours, not originating from a related e/m service provided within the previous 7 days nor leading to an e/m service or procedure within the next 24 hours or soonest available appointment",
G2011,No Change,Alcohol/sub abuse assess,"Alcohol and/or substance (other than tobacco) abuse structured assessment (e.g., audit, dast), and brief intervention, 5-14 minutes",
G2012,No Change,Brief check in by md/qhp,"Brief communication technology-based service, e.g. virtual check-in, by a physician or other qualified health care professional who can report evaluation and management services, provided to an established patient, not originating from a related e/m service provided within the previous 7 days nor leading to an e/m service or procedure within the next 24 hours or soonest available appointment; 5-10 minutes of medical discussion",
G2013,No Change,Post-d/c h vst ext pt 75 m,"Extensive (75 minutes) in-home visit for an existing patient post-discharge. for use only in a medicare-approved cmmi model. (services must be furnished within a beneficiary's home, domiciliary, rest home, assisted living and/or nursing facility within 90 days following discharge from an inpatient facility and no more than 9 times.)",
G2014,No Change,Post-d/c care plan overs 30m,"Limited (30 minutes) care plan oversight. for use only in a medicare-approved cmmi model. (services must be furnished within a beneficiary's home, domiciliary, rest home, assisted living and/or nursing facility within 90 days following discharge from an inpatient facility and no more than 9 times.)",
G2015,No Change,Post-d/c care plan overs 60m,"Comprehensive (60 mins) home care plan oversight. for use only in a medicare-approved cmmi model. (services must be furnished within a beneficiary's home, domiciliary, rest home, assisted living and/or nursing facility within 90 days following discharge from an inpatient facility.)",
G2021,ADD,Hea care pract tx in place,Health care practitioners rendering treatment in place (tip),
G2022,ADD,"Benef refuses service, mod","A model participant (ambulance supplier/provider), the beneficiary refuses services covered under the model (transport to an alternate destination/treatment in place)",
G2058,ADD,Ccm add 20min,"Chronic care management services, each additional 20 minutes of clinical staff time directed by a physician or other qualified health care professional, per calendar month (list separately in addition to code for primary procedure). (do not report g2058 for care management services of less than 20 minutes additional to the first 20 minutes of chronic care management services during a calendar month). (use g2058 in conjunction with 99490). (do not report 99490, g2058 in the same calendar month as 99487, 99489, 99491)).",
G2061,ADD,Qual nonmd est pt 5-10m,"Qualified nonphysician healthcare professional online assessment, for an established patient, for up to seven days, cumulative time during the 7 days; 5-10 minutes",
G2062,ADD,Qual nonmd est pt 11-20m,"Qualified nonphysician healthcare professional online assessment service, for an established patient, for up to seven days, cumulative time during the 7 days; 11-20 minutes",
G2063,ADD,Qual nonmd est pt 21>min,"Qualified nonphysician qualified healthcare professional assessment service, for an established patient, for up to seven days, cumulative time during the 7 days; 21 or more minutes",
G2064,ADD,Md mang high risk dx 30,"Comprehensive care management services for a single high-risk disease, e.g., principal care management, at least 30 minutes of physician  or other qualified health care professional  time per calendar month with the following elements: one complex chronic condition lasting  at least 3 months,  which is the focus of the care plan, the condition is of sufficient severity to place patient at risk of hospitalization or have been the cause of a recent hospitalization, the condition requires development or revision of disease-specific care plan, the condition requires frequent adjustments in the medication regimen, and/or the management of the condition is unusually complex due to comorbidities",
G2065,ADD,Clin mang h risk dx 30,"Comprehensive care management for a single high-risk disease services, e.g. principal care management, at least 30 minutes of clinical staff time directed by a physician or other qualified health care professional, per calendar month with the following elements: one complex chronic condition lasting at least 3 months, which is the focus of the care plan, the condition is of sufficient severity to place patient at risk of hospitalization or have been cause of a recent hospitalization, the condition requires development or revision of disease-specific care plan, the condition requires frequent adjustments in the medication regimen, and/or the management of the condition is unusually complex due to comorbidities",
G2066,ADD,Inter devc remote 30d,"Interrogation device evaluation(s), (remote) up to 30 days; implantable cardiovascular physiologic monitor system, implantable loop recorder system, or subcutaneous cardiac rhythm monitor system, remote data acquisition(s), receipt of transmissions and technician review, technical support and distribution of results",
G2067,ADD,Med assist tx meth wk,"Medication assisted treatment, methadone; weekly bundle including dispensing and/or administration, substance use counseling, individual and group therapy, and toxicology testing, if performed (provision of the services by a medicare-enrolled opioid treatment program)",
G2068,ADD,Med assist tx bupre oral,"Medication assisted treatment, buprenorphine (oral); weekly bundle including dispensing and/or administration, substance use counseling, individual and group therapy, and toxicology testing if performed (provision of the services by a medicare-enrolled opioid treatment program)",
G2069,ADD,Med assist tx inject,"Medication assisted treatment, buprenorphine (injectable); weekly bundle including dispensing and/or administration, substance use counseling, individual and group therapy, and toxicology testing if performed (provision of the services by a medicare-enrolled opioid treatment program)",
G2070,ADD,Med assist tx implant,"Medication assisted treatment, buprenorphine (implant insertion); weekly bundle including dispensing and/or administration, substance use counseling, individual and group therapy, and toxicology testing if performed (provision of the services by a medicare-enrolled opioid treatment program)",
